estacionID,fecha,tempaire
CDLCL,2020/06/18 00:00:00,30.500,37.000,24.000
CNTCL,2020/06/18 00:00:00,30.000,36.000,24.000
CYTCL,2020/06/18 00:00:00,31.500,38.000,25.000
ESLCL,2020/06/18 00:00:00,23.250,29.000,17.500
FIMCL,2020/06/18 00:00:00,29.500,36.000,23.000
MATCL,2020/06/18 00:00:00,29.000,37.000,21.000
MCVCL,2020/06/18 00:00:00,31.850,38.200,25.500
PNGCL,2020/06/18 00:00:00,30.900,36.800,25.000
PRSCL,2020/06/18 00:00:00,31.000,38.000,24.000
SAACL,2020/06/18 00:00:00,20.500,31.000,10.000
SALCL,2020/06/18 00:00:00,22.500,30.000,15.000
SBNCL,2020/06/18 00:00:00,30.750,35.500,26.000
SMGCL,2020/06/18 00:00:00,30.000,35.000,25.000
SMJCL,2020/06/18 00:00:00,26.000,32.000,20.000
STOCL,2020/06/18 00:00:00,24.000,30.000,18.000
TORCL,2020/06/18 00:00:00,32.150,39.500,24.800
VCRCL,2020/06/18 00:00:00,30.000,36.000,24.000
ZPTCL,2020/06/18 00:00:00,28.500,34.000,23.000
BVSCM,2020/06/18 00:00:00,29.500,36.000,23.000
CDOCM,2020/06/18 00:00:00,29.500,35.000,24.000
CLLCM,2020/06/18 00:00:00,31.200,38.500,24.000
CQMCM,2020/06/18 00:00:00,29.500,34.500,24.500
CUACM,2020/06/18 00:00:00,29.000,35.000,23.000
DJLCM,2020/06/18 00:00:00,29.000,35.000,23.000
LAECM,2020/06/18 00:00:00,29.000,37.000,21.000
LDACM,2020/06/18 00:00:00,29.200,34.500,24.000
LPSCM,2020/06/18 00:00:00,30.200,37.000,23.500
MNZCM,2020/06/18 00:00:00,29.800,33.400,26.200
PNTCM,2020/06/18 00:00:00,30.700,38.000,23.500
RDRCM,2020/06/18 00:00:00,29.000,34.000,24.000
TCMCM,2020/06/18 00:00:00,30.500,37.500,23.500
TRJCM,2020/06/18 00:00:00,32.000,39.000,25.000
ACACP,2020/06/18 00:00:00,28.500,34.000,23.000
ANGCP,2020/06/18 00:00:00,25.500,30.000,21.000
AROCP,2020/06/18 00:00:00,28.250,33.500,23.000
BOQCP,2020/06/18 00:00:00,26.000,31.000,21.000
CASCP,2020/06/18 00:00:00,26.500,31.000,22.000
CHICP,2020/06/18 00:00:00,27.750,32.000,23.500
CHMCP,2020/06/18 00:00:00,24.850,29.800,19.900
COOCP,2020/06/18 00:00:00,21.150,26.000,16.300
DESCP,2020/06/18 00:00:00,26.900,32.400,21.400
ELNCP,2020/06/18 00:00:00,28.000,33.000,23.000
ESCCP,2020/06/18 00:00:00,28.250,33.500,23.000
FPZCP,2020/06/18 00:00:00,21.500,25.000,18.000
GRICP,2020/06/18 00:00:00,27.500,33.000,22.000
HUECP,2020/06/18 00:00:00,29.250,35.000,23.500
HUICP,2020/06/18 00:00:00,29.750,34.000,25.500
JAPCP,2020/06/18 00:00:00,26.000,31.000,21.000
MALCP,2020/06/18 00:00:00,27.000,30.000,24.000
MAPCP,2020/06/18 00:00:00,27.500,31.500,23.500
PCOCP,2020/06/18 00:00:00,26.000,31.000,21.000
PENCP,2020/06/18 00:00:00,28.000,31.000,25.000
PIJCP,2020/06/18 00:00:00,28.250,32.000,24.500
REFCP,2020/06/18 00:00:00,25.500,31.000,20.000
REVCP,2020/06/18 00:00:00,25.500,31.000,20.000
SAACP,2020/06/18 00:00:00,27.250,32.000,22.500
SAYCP,2020/06/18 00:00:00,27.250,32.500,22.000
SCOCP,2020/06/18 00:00:00,18.800,23.400,14.200
SCRCP,2020/06/18 00:00:00,18.500,23.500,13.500
SDOCP,2020/06/18 00:00:00,26.000,31.500,20.500
SMICP,2020/06/18 00:00:00,25.000,30.500,19.500
TAPCP,2020/06/18 00:00:00,28.800,34.100,23.500
TPICP,2020/06/18 00:00:00,28.250,32.000,24.500
TUXCP,2020/06/18 00:00:00,24.750,28.500,21.000
TXOCP,2020/06/18 00:00:00,28.300,33.000,23.600
TXZCP,2020/06/18 00:00:00,25.000,29.000,21.000
YAMCP,2020/06/18 00:00:00,24.500,26.500,22.500
CEADF,2020/06/18 00:00:00,22.700,31.500,14.000
DATDF,2020/06/18 00:00:00,18.000,25.000,11.000
GCNDF,2020/06/18 00:00:00,19.700,27.500,12.000
SJADF,2020/06/18 00:00:00,20.200,28.000,12.500
CAGDR,2020/06/18 00:00:00,26.200,33.000,19.500
CBRDR,2020/06/18 00:00:00,22.000,28.000,16.000
CEBDR,2020/06/18 00:00:00,30.000,40.000,20.000
CGVDR,2020/06/18 00:00:00,23.000,31.000,15.000
CLRDR,2020/06/18 00:00:00,29.500,36.000,23.000
CNCDR,2020/06/18 00:00:00,27.000,35.000,19.000
CNTDR,2020/06/18 00:00:00,24.500,31.500,17.500
DRGDR,2020/06/18 00:00:00,28.200,35.700,20.700
FVLDR,2020/06/18 00:00:00,23.000,32.000,14.000
FZRDR,2020/06/18 00:00:00,28.000,33.000,23.000
GESDR,2020/06/18 00:00:00,28.200,39.500,17.000
GUADR,2020/06/18 00:00:00,22.500,32.000,13.000
GVCDR,2020/06/18 00:00:00,22.700,32.500,13.000
LCRDR,2020/06/18 00:00:00,28.700,35.500,22.000
LFLDR,2020/06/18 00:00:00,29.500,36.500,22.500
MPMDR,2020/06/18 00:00:00,28.000,36.000,20.000
NAVDR,2020/06/18 00:00:00,19.000,30.500,7.500
PAGDR,2020/06/18 00:00:00,21.500,30.000,13.000
PDCDR,2020/06/18 00:00:00,22.200,31.000,13.500
RDODR,2020/06/18 00:00:00,27.500,34.000,21.000
ROSDR,2020/06/18 00:00:00,12.250,21.000,3.500
RPADR,2020/06/18 00:00:00,20.700,30.000,11.500
SACDR,2020/06/18 00:00:00,24.000,36.000,12.000
SBYDR,2020/06/18 00:00:00,25.000,31.000,19.000
SCLDR,2020/06/18 00:00:00,24.700,34.500,15.000
SELDR,2020/06/18 00:00:00,22.000,30.000,14.000
SGBDR,2020/06/18 00:00:00,23.500,33.000,14.000
SJGDR,2020/06/18 00:00:00,26.500,34.000,19.000
SLTDR,2020/06/18 00:00:00,20.200,30.500,10.000
SPGDR,2020/06/18 00:00:00,27.200,35.500,19.000
SPPDR,2020/06/18 00:00:00,24.500,35.000,14.000
SRDDR,2020/06/18 00:00:00,21.000,34.000,8.000
TDRDR,2020/06/18 00:00:00,33.000,43.000,23.000
TGRDR,2020/06/18 00:00:00,25.000,32.000,18.000
THODR,2020/06/18 00:00:00,30.000,38.000,22.000
TLHDR,2020/06/18 00:00:00,24.500,35.500,13.500
TMZDR,2020/06/18 00:00:00,31.500,40.500,22.500
VGCDR,2020/06/18 00:00:00,22.500,31.000,14.000
VHGDR,2020/06/18 00:00:00,21.500,31.000,12.000
VOCDR,2020/06/18 00:00:00,23.500,33.000,14.000
ABSGJ,2020/06/18 00:00:00,25.250,33.000,17.500
ACNGJ,2020/06/18 00:00:00,23.500,31.000,16.000
AMCGJ,2020/06/18 00:00:00,23.000,31.000,15.000
APSGJ,2020/06/18 00:00:00,23.000,31.000,15.000
ATBGJ,2020/06/18 00:00:00,23.000,31.000,15.000
BRRGJ,2020/06/18 00:00:00,25.000,32.000,18.000
CLYGJ,2020/06/18 00:00:00,22.500,30.000,15.000
COMGJ,2020/06/18 00:00:00,23.500,31.000,16.000
CORGJ,2020/06/18 00:00:00,20.750,30.500,11.000
CRMGJ,2020/06/18 00:00:00,25.500,34.000,17.000
