estacionID,nombre,latitud,longitud
CVTTP,"Cd. Victoria (Gerencia), Tamps.",23.730278,-99.1875
DORBS,"Díaz Ordaz, B.C.S.",27.783333,-113.420833
SBABS,"San Bartolo, B.C.S.",23.716667,-109.883333
VVCMX,"Villa Victoria, Méx.",19.461667,-100.055556
CABNL,"Cabezones, N.L.",24.99,-99.743889
CANNL,"El Canadá, N.L.",25.800556,-100.274722
CALNL,"Calles, N.L.",25.22,-99.94
SNHSO,"Sinahuiza, Son.",26.918333,-109.453333
ECTTL,"El Carmen Tequexquitla, Tlax.",19.318056,-97.6475
BDRSI,"Badiraguato, Sin.",25.333333,-107.5375
YESSO,"Yeso, Son.",30.598889,-110.895833
LDMJL,"Lagos de Moreno, Jal.",21.359722,-101.919722
CL2CH,COLINA (HIDROMETRICA),27.410278,-105.381667
RITSO,"Riito, Son.",32.1,-114.9
AHUSL,"Ahuacatlán, S.L.P.",21.3,-99
MIRVC,"Miradores, Ver.",19.460556,-96.7625
CDFGR,"Cumbre de Figueroa, Gro.",16.8,-99.85
CDBMX,"Caída del Borracho, Méx.",19.406667,-99.298611
PRSCL,"Progreso, Coah.",27.422222,-101.002222
CMLCM,"Comala, Col.",19.3175,-103.757222
VDCMX,"Vaso de Cristo, Méx.",19.510278,-99.211667
TMOTP,"El Tomaseño, Tamps.",24.251389,-99.436111
K11CH,"KM. 115+100, Chih.",28.2,-108.6
SOMZC,"Sombrerete, Zac.",23.638889,-103.636667
MCVCL,"Monclova, Coah.",26.908333,-101.4225
GYCCH,"Guadalupe y Calvo, Chih.",26.1,-106.966667
CDSPB,"Cd. Serdán, Pue.",18.987222,-97.441667
ENSBN,"Ensenada, B.C.",31.104167,-116.168333
CDVDF,"Ciudad Deportiva, D.F.",19.407778,-99.1125
CDCDR,"Coneto de Comonfort, Dgo.",24.978611,-104.768611
CTTVC,"Coatotolapan, Ver.",18.144444,-95.295833
LENGJ,"León, Gto.",21.1,-101.666667
KM0CH,"KM 0+500, Chih.",0,0
PANTP,"Pueblo Anahuac, Tamps.",25.8,-97.8
ECBGJ,"El Cubo, Gto.",20.2,-100.5
POLJL,"Lugo Sanabria (La Pólvora), Jal.",20.491111,-102.231944
FIMDR,"Francisco I. Maderón, Dgo.",24.466667,-104.3
ESMDR,"Esmeralda, Dgo.",0,0
CONSO,"Cajón de Onapa, Son.",29,-109.2
CMYDF,"Campo Mecoaya, D.F.",19.486389,-99.183333
TXHHD,"Taxhimay, Hgo.",19.834722,-99.385278
CAZSO,CAZANATE,26.618056,-108.765556
TMPVC,"Tempoal, Ver.",21.517222,-98.383333
EPCMX,"E.P.C.C.A., Méx.",0,0
CHPCA,"Chumpán, Camp.",18.483333,-91.516667
ESBGJ,"El Sabino, Gto.",20.266667,-101
MTRNL,"Monterrey, N.L.",25.6825,-100.271667
TCMDF,"Tanque Chalmita, D.F.",19.556111,-99.1425
TLPGR,"Tlapa, Gro.",17.5,-98.6
CALJL,"Calerita, Jal.",21.475,-102.593056
ZDRGR,"Zumpango del Río, Gro.",17.655,-99.525278
TROMX,"Trojes, Méx.",19.1,-100.283333
CATYC,"Catzín, Yuc.",20.764444,-87.864722
APITL,"Apizaco, Tlax.",19.4,-98.1
UREMC,"Urepetiro, Mich.",19.962222,-102.137778
LOBZC,"Lobatos, Zac.",22.845278,-103.382778
BATQT,"El Batán, Qro.",20.5025,-100.354167
PAMJL,PUENTE AMECA,20.55,-104.05
PLACP,"Platanar, Chis.",17.577778,-93.3875
PIMCP,"Pimienta, Chis.",16.311667,-91.7625
